단어,빈도수,라벨링
앤디,255,0
구미,255,0
피플,255,0
수급,255,-1
금액,254,0
박사,254,0
엔딩,254,0
타워,254,0
각각,254,0
잠시,254,0
마리,254,0
시각,254,0
요리,254,0
실패,253,-3
성도,253,0
건물,253,0
지니,253,0
공지,253,0
진흥,253,0
해양,252,0
운전,252,0
룩스,252,0
신경,252,0
자본,252,0
평균,252,0
수프,252,0
증거,252,0
원림,252,0
광주대,252,0
엔진,251,0
해피,251,0
델타,251,0
틸론,251,0
오히려,250,1
시아,250,0
식약처,250,0
이투데이,250,0
연기,250,0
코스텔,250,0
키이스트,250,0
수호이,250,0
유비,250,0
강의,250,0
디바이스,250,0
서남,249,0
리서치,249,0
속도,249,0
타래,249,0
하이닉스,249,0
장르,249,0
효능,248,0
정상,248,0
회의,248,0
예고,248,0
재벌,248,0
하이마트,248,0
자소,248,0
제강,248,0
웹스,248,0
콜톡,248,0
세배,248,0
컨셉,248,0
네이블,247,0
경찰,247,0
해리포터,247,0
사진작가,247,0
종이,247,0
자원,247,0
코퍼레이션,247,0
코프라,247,0
트럼프,247,0
교체,246,0
주짓수,246,0
판단,246,0
코센,246,0
덕성,246,0
금속,246,0
인턴,246,0
삼보컴퓨터,246,0
임원,245,0
씨젠,245,0
정지,245,-1
평소,245,0
동네,245,0
화이트,245,0
역할,245,0
편입,245,0
유신,245,0
브레이크뉴스,245,0
호실,245,0
전방,244,0
감염,244,0
침대,244,0
정규직,244,0
드림라인,244,0
스티커,244,0
직업,244,0
화이자,244,0
밸류,243,0
손해,243,-3
덱스터,243,0
처분,243,-2
성분,243,0
감정,243,0
공주,242,0
민주,242,0
체시스,242,0
파괴,242,-1
우유,242,0
폭발,242,-2
위키트리,241,0
유가,241,0
칠성,241,0
아이엠,241,0
저번,241,0
또한,241,
종가,241,0
주력,241,0
구인,240,0
한정,240,0
구간,240,0
