기업명,감성지수
NHN,6
솔브레인,6
유티아이,6
엔브이에이치코리아,6
이엔에프테크놀로지,6
피에스케이홀딩스,6
롯데제과,6
KTOP 코스피50,6
텔레필드,6
미래에셋대우스팩 5호,6
신원종합개발,6
와이즈버즈,6
제주항공,5
MH에탄올,5
유성티엔에스,5
씨앤에스자산관리,5
키움증권,5
비아트론,5
현대퓨처넷,5
엔텔스,5
아가방컴퍼니,5
서호전기,5
경남스틸,5
덕신하우징,5
대우부품,5
매직마이크로,5
한국특강,5
네추럴FNP,5
메디안디노스틱,5
케이엠더블유,5
바다로19호,5
실력산업,5
엠앤씨생명과학,5
에스에이티이엔지,5
신영건설,5
비보존 헬스케어,5
동아,5
동신건설,5
서울가스,5
하이록코리아,5
모비릭스,5
자안코스메틱,5
국일신동,5
파버나인,5
영풍,5
클라우드에어,5
SK하이닉스,5
경동나비엔,5
피에스엠씨,5
TBH글로벌,5
핸디소프트,5
셀바스헬스케어,5
백광산업,5
PN풍년,5
미원상사,5
일야,5
동원수산,5
하이텍팜,5
화승엔터프라이즈,5
아바텍,5
지투알,4
팬엔터테인먼트,4
삼성바이오로직스,4
에이디테크놀로지,4
에스텍,4
SK디앤디,4
드림시큐리티,4
아진산업,4
영화금속,4
NAVER,4
메디쎄이,4
대주산업,4
상아프론테크,4
계룡건설,4
인콘,4
에코플라스틱,4
오스코텍,4
웅진,4
스페코,4
케이씨피드,4
에스엠,4
에스엠비나,4
마이티 코스피,4
한일사료,4
코엔스,4
대동고려삼,4
아하정보통신,4
CJ씨푸드,4
윈팩,4
애경유화,4
케이피에스,4
아이에이,4
나우IB,4
펩트론,4
KBI메탈,4
엔지브이아이,4
기업은행,4
성창오토텍,4
제이에스티나,4
현대제철,4
윈텍,4
피에이치씨,4
호텔신라,4
하이스틸,4
율촌화학,4
제일연마,4
삼일씨엔에스,4
유니포인트,4
서전기전,4
지트리비앤티,4
WI,4
덕산하이메탈,4
모두투어,4
고려제약,4
삼성카드,4
미애부,4
에이엔피,4
메타랩스,4
대호특수강,4
제우스,4
이즈미디어,4
로보쓰리,4
세종공업,4
디에스티,3
남선알미늄,3
퍼스텍,3
장원테크,3
소프트센,3
한성기업,3
아모센스,3
인동첨단소재,3
이성씨엔아이,3
한솔로지스틱스,3
KBS미디어,3
메디프론,3
동국산업,3
메지온,3
플랜티넷,3
에어미디어,3
GS,3
코드네이처,3
대유에이텍,3
휴맥스홀딩스,3
삼성엔지니어링,3
제일테크노스,3
티티씨디펜스,3
서울전자통신,3
플레이디,3
태경산업,3
동서,3
코리아에스이,3
푸드웰,3
코스나인,3
한일시멘트,3
한솔홈데코,3
대림B&Co,3
한국알콜,3
넥슨지티,3
부국증권,3
덕우전자,3
한국정보공학,3
하나투어,3
동우팜투테이블,3
KC그린홀딩스,3
에스에스알,3
극동유화,3
현대공업,3
시큐브,3
아남전자,3
씨앤투스성진,3
우리산업홀딩스,3
와이팜,3
HANATOURIST,3
대성미생물,3
썬테크,3
자안바이오,3
대원강업,3
코위버,3
아프리카TV,3
이미지스,3
휴럼,3
미래아이앤지,3
삼정펄프,2
미창석유,2
프로스테믹스,2
제이씨현시스템,2
모토닉,2
엠젠플러스,2
인팩,2
나인테크,2
삼화콘덴서,2
황금에스티,2
태영건설,2
미래에셋맵스리츠,2
엘리비젼,2
모두투어리츠,2
드래곤플라이,2
서진시스템,2
한국,2
보해양조,2
비케이탑스,2
삼성스팩4호,2
